Signum	Plats	Socken	Härad	Kommun	Placering	Koordinater	Urspr. plats?	Nuv. koord.	Sockenkod/Fornlämningsnr.	Runtyper	Korsform	Period/Datering	Stilgruppering	Ristare	Materialtyp	Material	Föremål	Övrigt	Alternativt signum	Referens	Bildlänk
N 222  	Eigersund	Egersund sn	Rogaland fylke	Eigersund								V			sten	grå granit	runsten				
N 223 $ 	Njærheim I	Nærbø sn	Rogaland fylke	Hå	Stavanger museum (nr. 2001/8)							V	RAK		sten	glimmerskiffer	stenkors	Fyra fragment av stenkorset återfanns 2001. Läsningen srkþukr ifrågasätts av Källström (2004:31f)	L 1614	$=NOR 2002:23, http://urn.nb.no/URN:NBN:no-45072	
N 224  	Njærheim II	Nærbø sn	Rogaland fylke	Hå							A2; B2; C10; D1; 0; F3; 0	V	RAK		sten	kvartsitisk skiffer	runsten				
N 225  	Klepp I	Klepp sn	Rogaland fylke	Klepp								V	RAK		sten		runsten		L 1600		
N 226  	Klepp II	Klepp sn	Rogaland fylke	Klepp								V	RAK		sten		runsten				
N 227 †M 	Klepp kirke	Klepp sn	Rogaland fylke	Klepp		(58.7734 ; 5.6244)						M troligen 1100-t			trä	trä	träinskrift		L 2021, L 2022		
N 228  	Tu	Klepp sn	Rogaland fylke	Klepp								V	RAK		sten	amfibolit	runsten				
N 229 M 	Erga	Orre sn	Rogaland fylke	Klepp	Stavanger museum							M?			ben/horn	oxhorn	oxhorn				
N 230  	Reve	Bore sn	Rogaland fylke	Klepp	Stavanger museum (nr. 4750)							V 950-1000 (Imer 2007)			sten	täljsten	sänke				
N 231 M 	Bore kirke	Bore sn	Rogaland fylke	Klepp	Bergens museum	(58.7950 ; 5.5988)						M			sten		gravhäll				
N 232 M 	Bore kirke	Bore sn	Rogaland fylke	Klepp	Stavanger museum	(58.7950 ; 5.5988)						M			sten		gravhäll				
N 233  	Bore kirke	Bore sn	Rogaland fylke	Klepp	Oldsaksamlingen (nr. 14746)	(58.7950 ; 5.5988)						V			sten	glimmerskiffer	runsten				
N 234  	Bore kirke	Bore sn	Rogaland fylke	Klepp	Stavanger museum	(58.7950 ; 5.5988)						V			sten		runsten				
N 235  	Bore kirke	Bore sn	Rogaland fylke	Klepp	Stavanger museum	(58.7950 ; 5.5988)						V			sten		gravhäll(?)				
N 236  	Sele	Bore sn	Rogaland fylke	Klepp	Stavanger museum							V	RAK		sten	gråsten	runsten				
N 237 † 	Sele	Bore sn	Rogaland fylke	Klepp								V	RAK		sten	gråsten	stenkors		L 1615		
N 238 † 	Skjæveland	Høiland sn	Rogaland fylke	Sandnes								V			sten		runsten				
